Metric,Average,Median,Min,Max,StdDev,Positive%,N
Total Return (%),11.98,0.09,-65.53,1291.4,105.44,51,158
CAGR (%),12.2,0.09,-65.56,1293.91,105.71,51,158
Sharpe Ratio,N/A (corrupted),0.08,N/A,2.62,N/A,53,158
Sortino Ratio,0.27,0.08,-2.29,5.35,1.09,53,158
Max Drawdown (%),-27.38,-25.39,-86.28,0.0,16.81,0,158
Calmar Ratio,0.61,0.01,-0.93,15.0,1.89,50,158
Annual Volatility (%),32.42,26.83,0.0,345.5,32.8,95,158
Alpha (%),-2.14,-4.0,-93.94,557.53,50.86,39,158
Beta,0.77,0.69,0.0,3.54,0.46,95,158
Benchmark Return (%),15.88,15.75,-18.38,77.5,17.37,82,158
Outperformance (%),-3.9,-11.12,-84.84,1275.92,105.65,29,158
Avg Stocks/Rebalance,7.6,7.4,0.0,18.7,4.3,96,158
