Run_Name,Profile,Start_Date,End_Date,Total_Return%,CAGR%,Sharpe,Sortino,Max_DD%,Volatility%,Alpha%,Beta,Benchmark_Return%,Outperformance%,Final_Value,Avg_Stocks,Duration_sec
bkt_conservator_1,conservative,2021-12-01,2022-12-01,-11.77,-11.78,-1.27,-1.17,-20.25,12.38,-13.67,0.22,-8.2,-3.56,8823.18,8.0,19.73121953010559
bkt_agresiv_1,aggressive,2025-05-25,2025-12-31,17.13,30.33,1.25,1.52,-9.29,19.46,3.22,0.96,16.36,0.77,11712.69,8.7,24.38380241394043
bkt_conservator_2,conservative,2021-09-15,2022-09-15,-10.78,-10.79,-1.12,-1.39,-17.16,12.98,-9.6,0.35,-11.66,0.87,8921.53,9.2,15.479796409606934
bkt_balansat_1,balanced,2018-12-25,2019-12-25,24.83,25.0,1.73,2.37,-7.32,10.88,8.28,0.42,32.96,-8.12,12483.32,3.5,9.406503677368164
bkt_agresiv_2,aggressive,2018-12-26,2019-12-26,-1.21,-1.22,-0.41,-0.54,-8.75,11.28,-11.19,0.26,33.66,-34.88,9878.56,9.4,22.72988796234131
bkt_conservator_3,conservative,2022-04-25,2023-04-25,-14.18,-14.19,-1.81,-2.09,-18.39,10.38,-17.45,0.27,-3.63,-10.55,8582.18,8.8,9.674925804138184
bkt_balansat_2,balanced,2020-11-22,2021-11-22,9.07,9.1,0.38,0.53,-16.6,15.72,-16.55,0.9,32.65,-23.58,10906.72,6.4,22.707554817199707
bkt_agresiv_3,aggressive,2018-10-26,2019-10-26,0.62,0.62,-0.16,-0.17,-15.48,14.68,-9.88,0.62,15.93,-15.31,10061.99,7.2,19.82202410697937
bkt_conservator_4,conservative,2023-01-24,2024-01-24,-5.0,-5.0,-0.73,-0.88,-12.15,11.62,-16.89,0.48,23.13,-28.13,9499.93,7.2,15.16704249382019
bkt_conservator_5,conservative,2023-06-19,2024-06-18,1.55,1.56,-0.12,-0.19,-10.7,13.08,-16.12,0.71,26.81,-25.25,10155.33,9.2,21.39500904083252
bkt_conservator_6,conservative,2022-09-04,2023-09-04,0.05,0.05,-0.28,-0.29,-14.55,11.63,-7.43,0.3,17.35,-17.3,10004.85,6.3,9.570791244506836
bkt_agresiv_4,aggressive,2019-08-01,2020-07-31,-3.11,-3.11,-0.53,-0.51,-15.32,12.18,-8.79,0.18,12.96,-16.07,9688.97,12.0,19.816736936569214
bkt_balansat_3,balanced,2025-05-29,2025-12-31,31.24,58.37,2.21,3.02,-6.23,19.95,19.33,1.1,16.58,14.67,13124.34,7.3,15.476880550384521
bkt_balansat_4,balanced,2020-08-31,2021-08-31,18.2,18.22,0.69,1.0,-14.47,21.7,-12.33,1.13,31.2,-12.99,11820.43,6.6,41.214829206466675
bkt_balansat_5,balanced,2019-04-10,2020-04-09,-16.18,-16.19,-1.25,-1.49,-18.86,16.21,-20.09,0.29,-1.53,-14.65,8382.07,6.2,28.356860876083374
bkt_agresiv_5,aggressive,2024-01-30,2025-01-29,30.48,30.51,1.59,2.19,-6.62,15.06,9.9,0.75,24.17,6.31,13048.24,7.2,57.20305562019348
bkt_agresiv_6,aggressive,2022-03-07,2023-03-07,-28.43,-28.45,-2.35,-2.04,-32.21,15.45,-35.55,0.17,-3.5,-24.92,7157.08,8.6,29.418407917022705
bkt_agresiv_7,aggressive,2023-09-02,2024-09-01,-9.99,-10.13,-0.86,-1.21,-14.03,15.68,-28.9,0.73,27.23,-37.22,9000.87,10.2,52.248297452926636
bkt_agresiv_8,aggressive,2018-09-19,2019-09-19,-16.11,-16.12,-1.11,-1.33,-24.31,17.97,-21.32,0.49,5.43,-21.55,8388.56,10.2,49.75261735916138
bkt_balansat_6,balanced,2020-05-13,2021-05-13,21.43,21.44,0.96,1.18,-9.42,17.81,-7.21,0.66,48.03,-26.6,12142.86,6.2,35.96050786972046
bkt_agresiv_9,aggressive,2024-09-13,2025-09-13,16.09,16.15,0.76,0.88,-18.87,16.43,6.58,0.39,18.43,-2.34,11609.34,11.2,51.078346490859985
bkt_agresiv_10,aggressive,2021-02-23,2022-02-23,14.92,14.93,0.65,0.97,-12.59,17.35,5.19,0.91,10.34,4.58,11492.04,7.8,65.76836633682251
bkt_conservator_7,conservative,2019-12-10,2020-12-09,-10.92,-10.93,-0.85,-0.82,-19.88,16.64,-18.37,0.22,19.27,-30.19,8907.97,12.7,27.77250576019287
bkt_conservator_8,conservative,2023-08-05,2024-08-04,5.95,6.02,0.24,0.29,-5.19,9.58,-3.96,0.42,19.89,-13.94,10594.64,10.3,27.79385495185852
