Name,Profile,Start,End,Return%,CAGR%,Sharpe,Sortino,MaxDD%,Vol%,Alpha%,Beta,BenchRet%,Outperf%,FinalVal,AvgStocks,Duration
bkt_agresiv_1,aggressive,2019-09-03,2020-09-02,14.75,14.76,0.53,0.57,-21.46,23.28,3.1,0.39,25.49,-10.73,11475.29,6.8,52.35417819023132
bkt_agresiv_2,aggressive,2019-11-13,2020-11-12,9.9,9.9,0.35,0.43,-18.85,22.4,2.19,0.34,16.48,-6.58,10989.73,12.0,26.183579206466675
bkt_conservator_1,conservative,2021-05-11,2022-05-11,13.48,13.49,0.52,0.68,-13.24,20.6,15.3,0.7,-3.93,17.41,11348.18,10.0,35.313846826553345
bkt_balansat_1,balanced,2022-05-09,2023-05-09,-8.01,-8.02,-0.72,-0.8,-21.76,15.57,-12.21,0.32,4.95,-12.97,9198.72,5.6,10.77684473991394
bkt_agresiv_3,aggressive,2019-02-18,2020-02-18,5.87,5.89,0.19,0.26,-8.48,15.26,-6.49,0.52,23.49,-17.62,10586.66,12.2,31.050330638885498
bkt_balansat_2,balanced,2018-07-07,2019-07-07,-8.09,-8.19,-0.78,-1.04,-25.7,14.7,-15.24,0.59,9.52,-17.62,9190.59,7.0,16.745110511779785
bkt_conservator_2,conservative,2023-06-19,2024-06-18,-3.68,-3.7,-0.5,-0.78,-13.94,13.63,-21.88,0.73,26.81,-30.49,9631.71,9.2,22.50116467475891
bkt_balansat_3,balanced,2020-03-11,2021-03-11,36.1,36.12,1.74,2.19,-8.24,16.14,20.99,0.18,46.11,-10.02,13609.54,8.0,20.195539951324463
bkt_balansat_4,balanced,2024-06-13,2025-06-13,-4.45,-4.46,-0.36,-0.35,-15.66,18.88,-11.1,0.48,11.46,-15.91,9554.75,6.8,25.042054653167725
bkt_conservator_3,conservative,2021-10-06,2022-10-06,-21.66,-21.67,-0.9,-1.26,-37.95,27.41,-16.91,0.51,-12.89,-8.77,7834.41,5.5,21.562509298324585
bkt_conservator_4,conservative,2024-09-29,2025-09-29,-4.54,-4.55,-0.51,-0.53,-14.57,14.91,-13.89,0.46,17.08,-21.62,9546.33,12.2,34.33493399620056
bkt_conservator_5,conservative,2019-04-19,2020-04-18,-13.76,-13.91,-0.98,-0.84,-25.39,17.73,-17.86,0.34,0.77,-14.53,8623.65,12.2,20.663888454437256
bkt_balansat_5,balanced,2025-04-08,2025-12-31,-3.86,-5.24,-0.23,-0.19,-21.03,25.64,-19.45,0.32,38.55,-42.4,9614.38,4.0,15.176523447036743
bkt_conservator_6,conservative,2020-02-10,2021-02-09,-9.04,-9.04,-0.37,-0.43,-26.8,26.86,-18.5,0.46,18.78,-27.82,9096.28,11.2,20.042446613311768
bkt_balansat_6,balanced,2023-12-04,2024-12-03,13.18,13.19,0.67,0.92,-10.19,14.01,-2.93,0.47,34.02,-20.85,11317.76,6.8,21.43870186805725
bkt_conservator_7,conservative,2022-12-30,2023-12-30,-11.99,-12.03,-1.24,-1.65,-17.2,12.97,-26.94,0.54,26.18,-38.17,8800.91,5.0,14.92253065109253
bkt_balansat_7,balanced,2018-02-12,2019-02-12,3.09,3.09,0.02,0.03,-13.67,16.17,-1.23,0.64,5.26,-2.17,10309.21,7.2,18.622111082077026
bkt_conservator_8,conservative,2019-02-24,2020-02-24,13.13,13.17,0.75,1.01,-4.88,12.22,1.52,0.59,17.53,-4.41,11312.52,13.2,20.506505489349365
bkt_balansat_8,balanced,2023-07-23,2024-07-22,-3.32,-3.33,-0.49,-0.69,-16.48,13.36,-18.49,0.66,23.82,-27.14,9668.44,6.8,18.496638298034668
bkt_balansat_9,balanced,2021-04-22,2022-04-22,12.97,12.98,0.59,0.86,-8.45,16.1,8.3,0.65,4.7,8.27,11296.77,6.4,23.36023783683777
bkt_conservator_9,conservative,2020-03-29,2021-03-29,15.55,15.61,0.86,0.97,-8.15,13.21,-1.45,0.31,53.69,-38.14,11554.87,11.2,38.310680866241455
bkt_balansat_10,balanced,2020-12-11,2021-12-11,22.67,22.76,0.91,1.42,-9.59,20.32,-8.07,1.14,30.32,-7.65,12266.99,6.5,22.939207792282104
bkt_agresiv_4,aggressive,2022-07-20,2023-07-20,13.44,13.45,0.63,0.9,-13.57,15.55,5.89,0.3,16.41,-2.97,11344.37,8.0,18.621179819107056
bkt_conservator_10,conservative,2019-05-09,2020-05-08,-11.87,-11.87,-0.77,-0.79,-22.58,19.1,-16.88,0.42,4.1,-15.97,8813.47,10.0,20.32779049873352
bkt_agresiv_5,aggressive,2024-06-02,2025-06-02,28.3,28.41,1.27,1.71,-8.9,18.02,16.89,0.54,13.73,14.57,12830.05,8.6,41.68676400184631
bkt_conservator_11,conservative,2020-10-11,2021-10-11,10.71,10.75,0.52,0.72,-8.18,13.73,-7.89,0.78,25.08,-14.36,11071.35,12.0,33.67808747291565
bkt_balansat_11,balanced,2021-08-11,2022-08-11,2.17,2.17,-0.03,-0.03,-10.89,16.72,1.53,0.33,-4.02,6.19,10217.11,4.6,16.911512851715088
bkt_balansat_12,balanced,2023-06-07,2024-06-06,2.74,2.74,-0.04,-0.05,-9.04,12.92,-12.59,0.58,27.16,-24.42,10274.11,5.5,16.130465745925903
bkt_balansat_13,balanced,2021-06-05,2022-06-05,-4.35,-4.4,-0.49,-0.63,-13.91,15.01,-5.72,0.43,-1.48,-2.87,9564.64,5.5,17.052054166793823
bkt_agresiv_6,aggressive,2019-11-09,2020-11-08,-4.28,-4.33,-0.26,-0.34,-22.67,22.4,-12.03,0.37,15.76,-20.04,9571.84,10.0,32.89231204986572
bkt_conservator_12,conservative,2019-05-24,2020-05-23,-11.27,-11.31,-0.74,-0.69,-23.74,19.1,-17.06,0.39,6.61,-17.89,8872.51,13.2,20.032278299331665
bkt_conservator_13,conservative,2023-05-09,2024-05-08,11.63,11.64,0.61,0.95,-7.23,12.89,-5.96,0.65,27.68,-16.05,11163.26,9.2,16.398521900177002
bkt_agresiv_7,aggressive,2018-04-21,2019-04-21,17.32,17.59,0.91,1.23,-16.62,14.58,9.12,0.54,10.91,6.41,11732.03,8.2,27.8289155960083
bkt_conservator_14,conservative,2019-02-23,2020-02-23,14.68,14.86,0.92,1.32,-4.93,11.43,0.92,0.58,21.56,-6.88,11467.93,12.8,16.65221381187439
bkt_conservator_15,conservative,2023-08-09,2024-08-08,13.19,13.2,0.71,1.07,-7.34,13.12,-0.84,0.65,20.71,-7.53,11318.56,9.0,26.296835899353027
bkt_balansat_14,balanced,2020-04-04,2021-04-04,26.97,27.41,1.25,1.61,-9.07,17.26,2.66,0.46,53.68,-26.71,12696.61,8.0,16.0438814163208
