Metric,Average,Median,Min,Max,StdDev,Positive%,N
Total Return (%),5.112,4.925,-25.98,42.46,13.323,64.0,100
CAGR (%),5.498,5.02,-25.99,52.89,14.21,64.0,100
Sharpe Ratio,0.138,0.14,-1.75,2.17,0.811,56.0,100
Sortino Ratio,0.256,0.155,-1.86,3.42,1.051,56.0,100
Max Drawdown (%),-15.465,-15.62,-37.95,-3.25,6.682,0.0,100
Calmar Ratio,0.842,0.335,-0.87,9.46,1.773,64.0,100
Annual Volatility (%),17.049,16.255,8.52,27.41,3.9,100.0,100
Alpha (%),-5.463,-4.26,-38.35,27.89,11.731,33.0,100
Beta,0.522,0.495,0.15,1.14,0.189,100.0,100
Benchmark Return (%),16.671,16.595,-18.47,53.69,14.841,86.0,100
Outperformance (%),-11.559,-12.18,-44.26,25.98,14.352,22.0,100
Avg Stocks,8.548,8.1,2.7,13.8,2.621,100.0,100
