Name,Profile,Start,End,Return%,CAGR%,Sharpe,Sortino,MaxDD%,Vol%,Alpha%,Beta,BenchRet%,Outperf%,FinalVal,AvgStocks,Duration
bkt_conservator_1,conservative,2020-01-14,2021-01-13,-7.08,-7.08,-0.47,-0.37,-23.31,19.97,-15.41,0.33,18.15,-25.23,9292.29,11.3,16.329342365264893
bkt_balansat_1,balanced,2023-03-14,2024-03-13,18.81,18.83,0.86,1.19,-18.69,17.29,-6.54,0.82,33.72,-14.9,11881.27,6.8,16.19288969039917
bkt_conservator_2,conservative,2024-07-04,2025-07-04,-8.17,-8.22,-0.77,-0.83,-15.66,14.86,-16.85,0.46,14.15,-22.32,9182.76,10.5,13.84679102897644
bkt_conservator_3,conservative,2023-08-21,2024-08-20,4.88,4.88,0.13,0.18,-18.44,16.8,-15.77,0.8,28.95,-24.07,10487.98,11.2,14.226288080215454
bkt_conservator_4,conservative,2022-01-16,2023-01-16,-11.57,-11.73,-0.98,-1.21,-17.62,15.59,-10.38,0.37,-11.29,-0.28,8842.84,10.0,7.04780650138855
bkt_agresiv_1,aggressive,2022-04-12,2023-04-12,-11.65,-11.66,-0.9,-0.9,-17.61,16.77,-11.83,0.48,-5.32,-6.33,8835.05,6.8,7.876479864120483
bkt_balansat_2,balanced,2022-02-17,2023-02-17,-14.31,-14.32,-0.73,-0.88,-27.58,23.15,-14.05,0.42,-5.31,-9.01,8568.83,4.8,7.712942123413086
bkt_balansat_3,balanced,2020-03-11,2021-03-11,34.45,34.48,1.84,2.11,-7.63,14.52,20.55,0.16,46.11,-11.66,13445.03,10.0,11.870420217514038
bkt_balansat_4,balanced,2021-09-03,2022-09-03,-2.5,-2.51,-0.21,-0.25,-20.7,20.72,3.19,0.51,-12.2,9.7,9750.01,5.7,8.509854078292847
bkt_agresiv_2,aggressive,2024-02-21,2025-02-20,21.57,21.58,0.94,1.26,-11.47,18.63,4.23,0.7,24.34,-2.77,12156.79,10.0,32.358415365219116
bkt_agresiv_3,aggressive,2018-03-10,2019-03-10,-5.62,-5.68,-0.47,-0.61,-16.42,17.62,-6.81,0.65,0.41,-6.03,9438.16,9.0,23.874603986740112
bkt_conservator_5,conservative,2022-12-04,2023-12-04,1.96,1.97,-0.05,-0.06,-17.38,15.7,-8.65,0.65,16.09,-14.13,10196.23,6.8,11.248344898223877
bkt_agresiv_4,aggressive,2018-08-17,2019-08-17,22.08,22.17,1.04,1.38,-12.28,16.96,17.17,0.62,3.33,18.75,12208.44,8.5,15.944724082946777
bkt_balansat_5,balanced,2019-03-01,2020-02-29,18.72,18.79,0.9,1.0,-16.71,16.26,10.95,0.83,7.65,11.07,11871.52,6.8,8.15190076828003
bkt_conservator_6,conservative,2021-09-27,2022-09-27,-5.59,-5.59,-0.35,-0.54,-16.51,21.17,5.34,0.65,-16.66,11.08,9441.46,7.5,12.757914781570435
bkt_balansat_6,balanced,2020-11-05,2021-11-05,28.29,28.31,1.2,1.63,-13.87,18.9,-1.0,0.87,35.66,-7.37,12828.96,8.2,20.143191814422607
bkt_balansat_7,balanced,2025-01-07,2025-12-31,23.63,24.16,0.88,0.9,-16.7,23.16,12.67,0.55,17.21,6.42,12363.09,5.2,16.416730165481567
bkt_balansat_8,balanced,2019-12-12,2020-12-11,11.59,11.59,0.42,0.44,-21.27,22.59,3.15,0.35,17.74,-6.15,11158.51,10.3,9.835394144058228
bkt_conservator_7,conservative,2024-09-06,2025-09-06,10.63,10.67,0.49,0.62,-11.43,14.95,-1.66,0.52,21.27,-10.64,11063.18,13.2,18.02943444252014
bkt_conservator_8,conservative,2019-09-27,2020-09-26,-13.43,-13.47,-0.79,-0.68,-23.09,20.67,-22.55,0.44,13.44,-26.86,8657.39,12.3,11.82555866241455
bkt_conservator_9,conservative,2024-02-10,2025-02-09,10.31,10.44,0.62,0.87,-8.14,10.61,-0.77,0.44,21.46,-11.15,11031.02,12.0,20.429691314697266
bkt_agresiv_5,aggressive,2019-09-02,2020-09-01,5.41,5.43,0.18,0.18,-34.32,27.02,-6.24,0.5,23.7,-18.29,10541.04,13.0,18.999902486801147
bkt_agresiv_6,aggressive,2018-07-18,2019-07-18,-4.19,-4.19,-0.4,-0.42,-20.18,17.15,-10.79,0.75,8.43,-12.62,9580.83,10.2,28.83439064025879
bkt_agresiv_7,aggressive,2021-10-14,2022-10-14,-12.99,-13.0,-0.49,-0.67,-26.9,28.32,0.81,0.69,-17.96,4.97,8701.25,6.2,19.701303720474243
bkt_conservator_10,conservative,2018-08-18,2019-08-18,8.89,9.0,0.46,0.55,-10.38,11.59,5.11,0.44,3.11,5.78,10889.35,13.5,10.896955490112305
bkt_balansat_9,balanced,2022-10-21,2023-10-21,-9.9,-9.94,-1.0,-1.34,-12.49,13.61,-18.17,0.43,14.3,-24.21,9009.56,5.8,9.066964626312256
bkt_conservator_11,conservative,2020-02-13,2021-02-12,-20.56,-20.57,-0.99,-0.89,-29.84,24.26,-32.66,0.46,18.67,-39.23,7943.77,8.2,14.984137296676636
bkt_balansat_10,balanced,2023-06-25,2024-06-24,0.14,0.14,-0.17,-0.24,-14.94,15.35,-17.42,0.7,27.56,-27.41,10014.19,5.0,14.161167621612549
bkt_conservator_12,conservative,2023-07-29,2024-07-28,-11.6,-11.73,-1.18,-1.42,-18.86,13.26,-25.13,0.61,20.59,-32.19,8839.91,10.8,15.602088451385498
bkt_conservator_13,conservative,2022-04-06,2023-04-06,-15.23,-15.24,-1.05,-1.32,-20.26,18.04,-14.32,0.55,-6.81,-8.42,8477.26,3.8,8.763367414474487
bkt_agresiv_8,aggressive,2020-09-21,2021-09-21,-1.83,-1.83,-0.1,-0.11,-23.75,25.18,-30.75,1.06,34.49,-36.32,9816.87,6.8,55.704601764678955
bkt_conservator_14,conservative,2019-10-05,2020-10-04,-10.65,-10.76,-0.74,-0.69,-22.49,18.49,-19.32,0.35,16.11,-26.76,8935.36,13.0,11.816637754440308
bkt_conservator_15,conservative,2025-03-09,2025-12-31,30.38,38.73,1.81,2.39,-8.42,16.54,16.88,0.56,23.07,7.31,13038.2,10.5,19.76611065864563
bkt_conservator_16,conservative,2024-06-19,2025-06-19,10.5,10.56,0.45,0.54,-12.97,16.89,3.61,0.47,10.61,-0.12,11049.58,13.0,17.17618441581726
bkt_balansat_11,balanced,2018-06-27,2019-06-27,-0.04,-0.04,-0.15,-0.2,-15.83,17.25,-7.74,0.73,10.36,-10.4,9996.41,6.6,13.34474492073059
bkt_conservator_17,conservative,2018-01-13,2019-01-13,1.07,1.08,-0.11,-0.13,-12.47,15.69,3.89,0.76,-4.72,5.79,10106.7,16.0,16.20077610015869
bkt_conservator_18,conservative,2021-10-31,2022-10-31,-4.9,-4.92,-0.4,-0.54,-17.96,18.28,1.43,0.51,-14.78,9.88,9509.8,8.2,12.121966123580933
bkt_agresiv_9,aggressive,2024-09-06,2025-09-06,30.19,30.31,1.23,1.51,-14.36,20.13,15.16,0.55,21.27,8.92,13019.17,9.5,23.30365300178528
bkt_conservator_19,conservative,2018-09-05,2019-09-05,6.2,6.21,0.23,0.29,-9.08,12.12,1.59,0.5,5.08,1.13,10620.45,12.4,12.781454086303711
bkt_balansat_12,balanced,2024-07-06,2025-07-06,19.26,19.56,0.88,1.2,-12.91,17.64,11.33,0.36,14.02,5.24,11925.54,5.2,15.356559753417969
bkt_agresiv_10,aggressive,2022-12-01,2023-12-01,-20.3,-20.31,-1.38,-1.89,-25.24,18.2,-32.16,0.67,14.47,-34.77,7970.21,7.4,20.22314763069153
bkt_balansat_13,balanced,2020-12-13,2021-12-13,13.06,13.11,0.54,0.72,-12.52,18.7,-13.37,1.02,29.75,-16.69,11306.05,7.4,18.380960702896118
