Metric,Avg,Med,Min,Max,Std,Pos%,N
Total Return (%),5.548,4.045,-25.13,103.23,18.432,57.0,100
CAGR (%),5.867,4.045,-25.14,103.33,18.951,57.0,100
Sharpe,0.113,0.095,-1.66,2.49,0.859,51.0,100
Sortino,0.208,0.125,-1.96,4.18,1.118,51.0,100
Max DD (%),-17.026,-16.34,-40.15,-5.39,7.053,0.0,100
Calmar,0.738,0.18,-0.96,9.29,1.689,57.0,100
Vol (%),18.494,18.24,9.22,35.69,4.675,100.0,100
Alpha (%),-4.489,-4.94,-34.37,46.61,14.74,39.0,100
Beta,0.594,0.575,0.16,1.13,0.205,100.0,100
Bench Ret (%),13.528,14.825,-17.96,46.11,14.204,82.0,100
Outperf (%),-7.98,-9.4,-42.4,74.07,17.515,29.0,100
Avg Stocks,9.038,8.9,2.8,16.0,2.774,100.0,100
