Name,Profile,Start,End,Return%,CAGR%,Sharpe,Sortino,MaxDD%,Vol%,Alpha%,Beta,BenchRet%,Outperf%,FinalVal,AvgStocks,Duration
bkt_conservator_1,conservative,2025-06-23,2025-12-31,21.69,45.56,2.77,4.33,-3.96,12.25,19.4,0.67,14.28,7.41,12169.01,11.3,723.5420572757721
bkt_agresiv_1,aggressive,2023-04-02,2024-04-01,-7.0,-7.03,-0.36,-0.4,-25.75,23.82,-30.12,0.97,28.9,-35.9,9299.75,10.2,71.02355861663818
bkt_agresiv_2,aggressive,2025-04-30,2025-12-31,32.44,52.02,1.55,2.18,-9.98,26.77,0.83,1.41,24.04,8.4,13244.11,13.3,70.13570427894592
bkt_conservator_2,conservative,2023-03-15,2024-03-14,2.27,2.27,-0.08,-0.1,-7.89,12.08,-15.09,0.53,34.29,-32.03,10226.63,9.7,48.32989978790283
bkt_conservator_3,conservative,2024-06-11,2025-06-11,9.07,9.08,0.36,0.46,-14.16,17.0,-0.41,0.61,13.42,-4.35,10907.24,13.4,94.18294525146484
bkt_balansat_1,balanced,2024-05-02,2025-05-02,13.11,13.12,0.51,0.61,-17.68,20.69,5.41,0.48,13.65,-0.54,11311.21,8.6,89.87966418266296
bkt_agresiv_3,aggressive,2023-02-19,2024-02-19,19.48,19.79,0.99,1.55,-13.25,15.34,2.22,0.62,27.06,-7.58,11948.25,12.0,88.90940499305725
bkt_conservator_4,conservative,2023-10-30,2024-10-29,10.8,10.8,0.82,1.12,-4.95,8.08,-2.72,0.29,41.88,-31.08,11079.63,11.2,129.07513213157654
bkt_conservator_5,conservative,2022-02-21,2023-02-21,8.07,8.1,0.36,0.45,-10.72,13.17,6.27,0.23,-5.59,13.66,10806.83,6.8,44.13123917579651
bkt_conservator_6,conservative,2022-10-22,2023-10-22,-11.39,-11.51,-1.18,-1.44,-13.09,13.05,-19.56,0.44,12.92,-24.31,8861.17,7.8,32.449936866760254
bkt_agresiv_4,aggressive,2021-03-07,2022-03-07,24.84,24.93,0.97,1.44,-11.28,21.15,13.87,0.84,11.34,13.49,12483.72,8.8,161.04289650917053
bkt_agresiv_5,aggressive,2024-07-14,2025-07-14,-13.45,-13.49,-0.72,-0.76,-19.45,22.32,-21.64,0.55,12.66,-26.1,8655.22,10.4,112.7127583026886
bkt_conservator_7,conservative,2021-03-04,2022-03-04,-10.83,-10.84,-0.71,-0.93,-19.87,19.07,-25.54,1.0,16.25,-27.08,8917.11,9.4,72.52490448951721
bkt_balansat_2,balanced,2018-02-11,2019-02-11,-22.02,-22.09,-1.49,-1.81,-27.88,18.33,-28.08,0.57,3.93,-25.95,7797.75,8.0,82.88722252845764
bkt_conservator_8,conservative,2021-08-07,2022-08-07,9.14,9.25,0.33,0.44,-17.32,21.97,10.59,0.47,-5.15,14.29,10913.67,9.8,104.22692513465881
bkt_balansat_3,balanced,2023-12-17,2024-12-16,11.31,11.35,0.57,0.77,-9.4,13.4,-2.71,0.45,29.78,-18.47,11131.06,6.5,97.67823505401611
bkt_conservator_9,conservative,2019-07-24,2020-07-23,3.37,3.37,0.08,0.08,-24.55,22.76,-4.01,0.58,9.28,-5.91,10336.62,13.3,62.40719771385193
bkt_conservator_10,conservative,2019-11-03,2020-11-02,-29.24,-29.32,-1.58,-1.23,-34.18,22.77,-41.15,0.48,9.5,-38.74,7076.23,13.0,81.47305178642273
bkt_balansat_4,balanced,2021-06-17,2022-06-17,-9.6,-9.61,-0.6,-0.79,-21.02,20.16,-1.47,0.72,-11.78,2.17,9039.81,6.2,126.10469603538513
bkt_conservator_11,conservative,2024-09-11,2025-09-11,14.08,14.09,0.67,0.84,-14.16,15.6,1.35,0.56,20.09,-6.01,11408.35,13.4,160.05995392799377
bkt_agresiv_6,aggressive,2022-05-10,2023-05-10,-16.28,-16.29,-1.13,-1.34,-25.23,17.95,-21.67,0.42,5.2,-21.48,8372.13,12.6,44.937214612960815
bkt_conservator_12,conservative,2024-02-23,2025-02-22,7.62,7.64,0.37,0.5,-10.48,11.03,-3.94,0.53,19.65,-12.03,10761.66,14.5,90.65759372711182
bkt_conservator_13,conservative,2019-04-29,2020-04-28,-20.15,-20.16,-1.11,-0.97,-27.8,21.65,-24.16,0.52,-0.78,-19.37,7985.02,13.5,73.70997023582458
bkt_balansat_5,balanced,2020-08-09,2021-08-09,1.03,1.04,-0.02,-0.02,-19.02,22.73,-30.62,1.15,33.72,-32.68,10103.47,8.0,73.62398052215576
bkt_conservator_14,conservative,2023-09-07,2024-09-06,11.27,11.27,0.62,1.01,-11.58,11.95,-2.73,0.57,23.17,-11.9,11126.56,10.0,88.65852046012878
bkt_agresiv_7,aggressive,2021-03-08,2022-03-08,1.79,1.79,-0.01,-0.01,-18.35,20.32,-6.12,0.86,10.5,-8.71,10178.88,8.4,127.27613949775696
bkt_conservator_15,conservative,2018-04-11,2019-04-11,5.86,5.86,0.26,0.33,-6.95,7.77,-0.71,0.34,11.39,-5.53,10585.95,12.6,81.05762648582458
bkt_agresiv_8,aggressive,2018-03-21,2019-03-21,-14.81,-14.82,-0.97,-1.1,-19.6,18.9,-21.49,0.73,7.33,-22.14,8518.7,11.6,122.87440490722656
bkt_balansat_6,balanced,2018-05-17,2019-05-17,5.25,5.25,0.15,0.2,-13.19,14.45,-0.1,0.56,7.12,-1.87,10524.95,8.8,65.06637048721313
bkt_balansat_7,balanced,2020-09-19,2021-09-19,21.18,21.45,0.95,1.5,-10.92,17.95,-12.31,1.02,36.9,-15.72,12117.74,10.0,105.53225183486938
