Name,Profile,Start,End,Return%,CAGR%,Sharpe,Sortino,MaxDD%,Vol%,Alpha%,Beta,BenchRet%,Outperf%,FinalVal,AvgStocks,Duration
bkt_balansat_1,balanced,2023-04-08,2024-04-07,-1.5,-1.52,-0.41,-0.5,-15.57,11.79,-15.98,0.51,28.4,-29.9,9850.09,5.5,20.299829721450806
bkt_agresiv_1,aggressive,2019-07-04,2020-07-03,-26.9,-27.04,-1.15,-1.13,-36.36,27.57,-33.5,0.24,6.7,-33.6,7310.25,8.7,26.44543766975403
bkt_agresiv_2,aggressive,2021-05-15,2022-05-15,17.65,17.88,0.55,0.75,-21.63,31.16,21.54,0.95,-2.05,19.7,11765.43,10.5,35.91352367401123
bkt_agresiv_3,aggressive,2018-11-02,2019-11-02,9.31,9.35,0.35,0.48,-14.84,19.25,-1.89,0.78,14.83,-5.52,10931.43,12.5,20.08277726173401
bkt_agresiv_4,aggressive,2023-04-12,2024-04-11,-24.67,-24.68,-1.95,-2.36,-33.88,15.97,-48.05,0.77,28.78,-53.45,7533.38,12.2,23.053475379943848
bkt_conservator_1,conservative,2018-02-06,2019-02-06,7.55,7.55,0.31,0.4,-10.13,13.74,3.81,0.67,3.27,4.28,10754.89,15.2,22.16092085838318
bkt_balansat_2,balanced,2021-10-25,2022-10-25,15.09,15.1,0.5,0.62,-19.09,28.46,22.2,0.48,-14.23,29.31,11508.83,6.8,13.440572738647461
bkt_conservator_2,conservative,2023-10-25,2024-10-24,10.9,10.91,0.76,1.0,-5.76,8.99,-5.45,0.4,40.6,-29.7,11090.15,14.0,20.428438663482666
bkt_agresiv_5,aggressive,2020-09-15,2021-09-15,32.16,32.18,1.38,1.51,-13.32,18.65,-1.86,1.06,33.62,-1.47,13215.8,5.8,45.47336483001709
bkt_agresiv_6,aggressive,2024-04-12,2025-04-12,15.11,15.16,0.54,0.71,-16.83,24.38,10.57,0.71,5.85,9.26,11510.53,15.5,34.51342296600342
bkt_conservator_3,conservative,2022-02-01,2023-02-01,-4.01,-4.02,-0.44,-0.57,-17.96,15.73,-3.07,0.41,-7.83,3.82,9598.62,7.4,14.869444608688354
bkt_agresiv_7,aggressive,2022-05-19,2023-05-19,-7.81,-7.81,-0.69,-0.73,-22.4,15.88,-13.35,0.34,9.31,-17.12,9219.04,13.6,15.061862468719482
bkt_balansat_3,balanced,2020-05-02,2021-05-02,14.01,14.19,0.61,0.66,-10.3,17.72,-10.36,0.56,49.52,-35.51,11401.02,9.0,14.995396375656128
bkt_agresiv_8,aggressive,2018-07-17,2019-07-17,-30.7,-30.71,-1.98,-2.05,-38.79,19.66,-42.57,0.73,8.26,-38.95,6930.32,14.0,34.78796577453613
bkt_conservator_4,conservative,2018-09-12,2019-09-12,15.1,15.11,0.95,1.32,-8.54,11.39,9.28,0.43,6.27,8.83,11509.95,14.4,18.419193744659424
bkt_conservator_5,conservative,2021-05-04,2022-05-04,37.3,37.33,1.51,2.24,-10.78,19.56,28.48,0.55,4.59,32.71,13730.4,11.2,24.5199613571167
bkt_agresiv_9,aggressive,2025-07-02,2025-12-31,36.76,87.45,2.16,2.94,-11.51,29.18,30.49,1.95,10.54,26.23,13676.41,22.0,18.83342480659485
bkt_agresiv_10,aggressive,2023-03-29,2024-03-28,-10.76,-10.77,-0.97,-1.32,-24.23,14.73,-30.43,0.65,32.21,-42.97,8924.18,9.5,25.862985372543335
bkt_conservator_6,conservative,2023-04-18,2024-04-17,-3.54,-3.55,-0.84,-1.07,-6.37,8.6,-13.86,0.39,22.59,-26.14,9645.6,9.2,14.323796272277832
bkt_balansat_4,balanced,2018-06-15,2019-06-15,-2.53,-2.54,-0.3,-0.36,-21.73,17.25,-6.77,0.56,5.93,-8.46,9746.65,5.5,13.595905780792236
bkt_balansat_5,balanced,2023-07-19,2024-07-18,-11.18,-11.19,-1.12,-1.39,-20.81,13.44,-25.91,0.62,23.11,-34.29,8882.1,9.0,19.288797616958618
bkt_conservator_7,conservative,2021-01-06,2022-01-06,17.71,17.72,0.61,0.85,-18.06,24.82,-1.96,0.83,26.94,-9.23,11771.11,11.6,32.59169578552246
bkt_balansat_6,balanced,2022-06-07,2023-06-07,-27.34,-27.35,-2.78,-1.69,-28.73,12.67,-35.85,0.26,4.34,-31.67,7266.49,7.2,14.218164443969727
bkt_balansat_7,balanced,2020-08-31,2021-08-31,26.79,26.81,0.96,1.24,-13.05,23.55,-4.52,1.11,31.2,-4.41,12678.6,7.0,28.114280939102173
bkt_conservator_8,conservative,2018-02-26,2019-02-26,13.04,13.05,0.69,0.85,-11.89,13.27,9.37,0.63,2.42,10.62,11304.34,13.6,23.88331961631775
bkt_balansat_8,balanced,2025-01-23,2025-12-31,-9.89,-10.53,-0.55,-0.54,-24.23,22.66,-18.24,0.52,13.15,-23.04,9011.02,6.8,22.375083208084106
bkt_agresiv_11,aggressive,2023-09-12,2024-09-11,-6.72,-6.73,-0.31,-0.35,-23.28,25.29,-33.3,1.27,26.05,-32.77,9327.94,11.8,31.54351496696472
bkt_conservator_9,conservative,2020-04-19,2021-04-19,14.99,15.04,0.81,0.97,-8.01,13.56,-7.94,0.49,49.82,-34.83,11498.88,11.0,26.881266832351685
bkt_conservator_10,conservative,2021-09-05,2022-09-05,-26.32,-26.65,-1.53,-2.21,-30.26,21.23,-23.13,0.65,-11.88,-14.44,7367.75,9.6,24.849053859710693
bkt_agresiv_12,aggressive,2020-10-26,2021-10-26,24.23,24.25,1.19,1.65,-9.72,15.97,-11.3,1.09,36.24,-12.01,12423.08,3.8,63.52376317977905
bkt_agresiv_13,aggressive,2018-11-29,2019-11-29,38.33,38.36,2.15,3.07,-5.95,13.74,24.71,0.37,17.0,21.33,13832.57,14.2,25.849255084991455
bkt_balansat_9,balanced,2019-12-31,2020-12-30,24.16,24.18,0.95,1.05,-21.81,20.95,15.75,0.23,17.73,6.43,12416.28,8.5,19.80034852027893
bkt_conservator_11,conservative,2023-02-02,2024-02-02,-2.05,-2.05,-0.86,-1.14,-6.79,6.79,-10.49,0.3,20.41,-22.46,9795.22,8.8,17.840237379074097
