Metric,Avg,Med,Min,Max,Std,Pos%,N,SE,CI_lower,CI_upper
Total Return (%),5.837,6.06,-30.7,71.33,17.112,59.0,200,1.21,3.466,8.209
CAGR (%),7.068,6.19,-30.71,106.06,20.418,59.0,200,1.444,4.238,9.898
Sharpe,0.127,0.2,-2.78,2.43,0.957,57.0,200,0.068,-0.005,0.26
Sortino,0.226,0.25,-2.36,3.83,1.22,57.0,200,0.086,0.057,0.395
Max DD (%),-17.127,-17.165,-38.79,-2.31,7.607,0.0,200,0.538,-18.182,-16.073
Calmar,0.888,0.365,-1.03,11.54,1.95,59.0,200,0.138,0.618,1.159
Vol (%),18.399,17.995,5.76,34.15,5.615,100.0,200,0.397,17.621,19.177
Alpha (%),-4.785,-4.575,-48.05,52.62,15.592,37.0,200,1.103,-6.945,-2.624
Beta,0.615,0.58,0.12,1.95,0.288,100.0,200,0.02,0.575,0.655
Bench Ret (%),15.157,16.435,-16.53,64.0,15.759,80.5,200,1.114,12.973,17.341
Outperf (%),-9.319,-9.775,-53.45,53.14,17.994,29.0,200,1.272,-11.813,-6.826
Avg Stocks,9.663,9.2,2.0,22.0,3.725,100.0,200,0.263,9.147,10.179
