Name,Profile,StartDate,EndDate,Return%,SPY_Return%,Outperf%,Sharpe,MaxDD%,AvgStocks,Rebalances
bkt_agresiv_70,aggressive,2019-10-05,2020-10-04,-11.04,16.11,-27.15,-0.39,-34.78,10.0,4
bkt_agresiv_69,aggressive,2020-05-13,2021-05-13,80.84,48.03,32.81,1.93,-23.91,6.4,5
bkt_agresiv_68,aggressive,2019-09-26,2020-09-25,-6.67,12.82,-19.49,-0.4,-26.67,4.0,4
bkt_conservator_70,conservative,2018-10-07,2019-10-07,-6.51,3.85,-10.36,-0.66,-18.36,12.8,5
bkt_balansat_62,balanced,2019-03-06,2020-03-05,13.36,11.13,2.23,0.73,-8.72,4.0,4
bkt_agresiv_67,aggressive,2022-12-09,2023-12-09,8.9,18.86,-9.96,0.36,-17.29,10.0,4
bkt_agresiv_66,aggressive,2021-07-03,2022-07-03,17.05,-10.69,27.73,0.52,-22.35,7.8,4
bkt_balansat_61,balanced,2023-06-08,2024-06-07,16.88,26.24,-9.36,0.85,-9.03,6.2,4
bkt_agresiv_65,aggressive,2022-11-22,2023-11-22,9.78,15.57,-5.8,0.35,-21.54,10.0,5
bkt_balansat_60,balanced,2023-05-03,2024-05-02,-2.23,25.57,-27.8,-1.09,-6.75,4.0,4
bkt_balansat_59,balanced,2019-12-07,2020-12-06,12.92,20.11,-7.19,0.59,-12.81,6.7,4
bkt_balansat_58,balanced,2024-06-30,2025-06-30,-1.16,14.71,-15.87,-0.12,-20.83,7.0,5
bkt_agresiv_64,aggressive,2024-04-26,2025-04-26,-8.87,9.72,-18.59,-0.16,-37.09,8.2,5
bkt_conservator_69,conservative,2023-06-08,2024-06-07,21.01,26.24,-5.23,1.01,-17.78,8.2,4
bkt_agresiv_63,aggressive,2021-05-06,2022-05-06,-24.37,-0.55,-23.82,-0.56,-46.59,10.0,6
bkt_balansat_57,balanced,2021-10-12,2022-10-12,-11.79,-16.53,4.74,-0.9,-21.45,8.3,5
bkt_agresiv_62,aggressive,2022-10-18,2023-10-18,4.33,17.74,-13.42,0.19,-28.15,10.0,5
bkt_conservator_68,conservative,2021-01-31,2022-01-31,23.01,21.18,1.84,1.36,-10.03,11.6,5
bkt_balansat_56,balanced,2020-09-07,2021-09-07,21.72,37.51,-15.79,1.0,-8.26,5.6,5
bkt_conservator_67,conservative,2021-10-02,2022-10-02,3.97,-15.41,19.38,0.15,-26.34,8.2,4
bkt_balansat_55,balanced,2024-01-08,2025-01-07,9.99,25.62,-15.63,0.47,-7.55,5.8,4
bkt_conservator_66,conservative,2022-11-01,2023-11-01,-11.02,11.65,-22.67,-1.72,-15.02,8.6,5
bkt_conservator_65,conservative,2019-09-29,2020-09-28,-8.57,14.79,-23.35,-0.58,-23.14,14.0,4
bkt_agresiv_61,aggressive,2024-02-21,2025-02-20,90.55,24.34,66.22,1.31,-31.19,10.0,4
bkt_agresiv_60,aggressive,2022-11-06,2023-11-06,-4.26,16.48,-20.74,-0.45,-12.8,10.0,5
bkt_balansat_54,balanced,2019-05-14,2020-05-13,11.37,1.4,9.98,0.55,-15.76,4.5,4
bkt_conservator_64,conservative,2020-06-08,2021-06-08,24.46,32.75,-8.29,1.07,-14.47,9.0,5
bkt_balansat_53,balanced,2023-09-15,2024-09-14,8.04,28.08,-20.04,0.43,-6.21,6.5,4
bkt_conservator_63,conservative,2019-09-22,2020-09-21,-20.0,11.76,-31.77,-1.41,-26.31,14.0,4
bkt_balansat_52,balanced,2024-09-22,2025-09-22,2.46,18.48,-16.02,0.0,-19.96,8.4,5
bkt_conservator_62,conservative,2024-10-29,2025-10-29,10.37,19.59,-9.22,0.42,-18.23,12.8,5
bkt_agresiv_59,aggressive,2024-09-25,2025-09-25,153.22,16.84,136.38,1.05,-72.23,8.2,5
bkt_agresiv_58,aggressive,2022-07-18,2023-07-18,36.8,20.86,15.94,1.46,-11.51,10.0,5
bkt_agresiv_57,aggressive,2024-07-11,2025-07-11,35.1,13.46,21.64,0.74,-74.59,10.0,6
bkt_balansat_51,balanced,2020-03-17,2021-03-17,30.09,60.08,-29.99,1.43,-10.79,6.8,5
bkt_conservator_61,conservative,2018-04-19,2019-04-19,3.33,9.95,-6.62,0.0,-13.5,15.5,4
bkt_agresiv_56,aggressive,2018-04-17,2019-04-17,12.27,9.21,3.07,0.42,-30.35,10.0,5
bkt_balansat_50,balanced,2025-03-13,2025-12-31,28.84,25.12,3.72,1.36,-10.11,8.5,4
bkt_agresiv_55,aggressive,2022-07-17,2023-07-17,28.98,19.96,9.02,1.18,-11.53,10.0,5
bkt_agresiv_54,aggressive,2024-03-22,2025-03-22,-3.88,9.58,-13.47,0.01,-41.29,7.8,4
bkt_agresiv_53,aggressive,2024-07-20,2025-07-20,121.33,14.56,106.77,1.01,-77.66,7.0,5
bkt_agresiv_52,aggressive,2021-12-31,2022-12-31,-27.23,-18.18,-9.05,-1.14,-28.06,10.0,6
bkt_agresiv_51,aggressive,2021-02-25,2022-02-25,27.04,16.02,11.02,0.76,-20.73,6.4,5
bkt_balansat_49,balanced,2019-01-18,2020-01-18,21.25,26.94,-5.68,1.32,-8.63,5.2,4
bkt_balansat_48,balanced,2020-10-14,2021-10-14,35.94,28.97,6.97,1.51,-8.71,8.0,5
bkt_balansat_47,balanced,2022-06-04,2023-06-04,-10.43,5.68,-16.1,-1.09,-20.66,5.7,4
bkt_agresiv_50,aggressive,2018-10-25,2019-10-25,1.36,13.89,-12.53,-0.02,-15.81,8.2,5
bkt_agresiv_49,aggressive,2019-06-28,2020-06-27,-17.01,4.45,-21.46,-0.77,-21.82,10.0,4
bkt_balansat_46,balanced,2021-07-27,2022-07-27,-3.31,-7.35,4.04,-0.33,-15.84,6.4,5
bkt_balansat_45,balanced,2020-07-13,2021-07-13,45.45,40.41,5.04,1.56,-12.51,7.8,5
bkt_balansat_44,balanced,2020-01-26,2021-01-25,31.47,21.04,10.43,1.19,-20.69,7.8,4
bkt_conservator_60,conservative,2023-06-28,2024-06-27,-2.59,26.95,-29.55,-0.46,-14.48,10.5,4
bkt_agresiv_48,aggressive,2019-12-03,2020-12-02,35.92,20.78,15.14,0.83,-35.44,7.8,4
bkt_conservator_59,conservative,2025-02-21,2025-12-31,-1.75,15.0,-16.75,-0.26,-13.54,12.0,4
bkt_conservator_58,conservative,2019-04-27,2020-04-26,-18.75,-1.74,-17.01,-1.05,-26.63,13.8,5
bkt_balansat_43,balanced,2019-10-02,2020-10-01,-15.02,19.27,-34.29,-0.92,-23.47,7.3,4
bkt_balansat_42,balanced,2024-08-28,2025-08-28,20.8,17.68,3.12,0.94,-17.51,6.8,5
bkt_agresiv_47,aggressive,2019-04-15,2020-04-14,-6.68,-0.13,-6.54,-0.29,-26.67,5.5,4
bkt_conservator_57,conservative,2024-08-12,2025-08-12,10.23,22.02,-11.79,0.45,-15.29,12.6,5
bkt_conservator_56,conservative,2018-11-16,2019-11-16,3.89,16.17,-12.28,0.05,-8.47,12.5,4
bkt_conservator_55,conservative,2023-06-26,2024-06-25,-1.0,28.05,-29.05,-0.42,-10.97,10.8,4
bkt_conservator_54,conservative,2018-10-13,2019-10-13,14.65,10.12,4.53,0.86,-11.62,13.8,4
bkt_agresiv_46,aggressive,2022-08-12,2023-08-12,19.25,6.05,13.2,0.85,-8.54,10.0,4
bkt_conservator_53,conservative,2018-08-17,2019-08-17,8.24,3.33,4.9,0.41,-9.2,13.2,4
bkt_agresiv_45,aggressive,2022-12-12,2023-12-12,5.32,18.16,-12.84,0.16,-11.35,8.2,5
bkt_conservator_52,conservative,2020-08-01,2021-08-01,16.4,35.36,-18.96,0.84,-8.08,12.5,4
bkt_conservator_51,conservative,2019-09-04,2020-09-03,-4.33,19.81,-24.14,-0.22,-27.27,13.8,5
bkt_balansat_41,balanced,2019-02-12,2020-02-12,20.46,25.43,-4.97,1.5,-4.7,6.8,5
bkt_agresiv_44,aggressive,2023-03-01,2024-02-29,-18.01,30.67,-48.68,-0.83,-31.5,9.0,5
bkt_agresiv_43,aggressive,2018-08-29,2019-08-29,-9.89,2.36,-12.25,-0.53,-30.46,9.8,6
bkt_conservator_50,conservative,2022-07-07,2023-07-07,-4.19,14.58,-18.77,-0.73,-13.41,6.0,5
bkt_conservator_49,conservative,2024-08-17,2025-08-17,8.22,16.41,-8.19,0.33,-18.06,10.2,4
bkt_balansat_40,balanced,2018-08-10,2019-08-10,2.49,5.02,-2.54,-0.04,-15.18,6.5,4
bkt_agresiv_42,aggressive,2021-02-06,2022-02-06,-34.66,16.43,-51.1,-1.06,-47.44,7.8,4
bkt_agresiv_41,aggressive,2019-08-11,2020-08-10,8.36,18.81,-10.46,0.28,-30.73,8.2,5
bkt_balansat_39,balanced,2019-05-12,2020-05-11,-7.55,6.27,-13.82,-0.85,-20.03,6.0,4
bkt_balansat_38,balanced,2019-03-07,2020-03-06,2.08,10.21,-8.14,-0.11,-10.7,2.5,4
bkt_conservator_48,conservative,2019-08-08,2020-08-07,-17.79,16.22,-34.01,-0.76,-31.56,12.0,5
bkt_conservator_47,conservative,2020-10-24,2021-10-24,44.89,35.39,9.5,2.39,-5.95,13.5,4
bkt_agresiv_40,aggressive,2024-09-07,2025-09-07,-18.11,19.93,-38.04,-0.16,-41.43,8.2,5
bkt_agresiv_39,aggressive,2024-02-17,2025-02-16,35.66,24.31,11.35,0.75,-37.32,7.8,4
bkt_conservator_46,conservative,2018-03-17,2019-03-17,0.72,6.02,-5.3,-0.21,-11.56,11.8,4
bkt_conservator_45,conservative,2019-11-17,2020-11-16,-25.21,18.45,-43.65,-1.15,-34.96,12.8,5
bkt_balansat_37,balanced,2022-05-16,2023-05-16,-12.85,4.28,-17.13,-1.74,-20.25,3.4,5
bkt_balansat_36,balanced,2020-01-16,2021-01-15,4.82,15.65,-10.83,0.14,-17.15,6.0,4
bkt_agresiv_38,aggressive,2020-05-07,2021-05-07,105.14,49.09,56.05,2.46,-14.06,4.6,5
bkt_balansat_35,balanced,2018-07-18,2019-07-18,2.3,8.43,-6.13,-0.06,-14.83,6.6,5
bkt_conservator_44,conservative,2022-05-08,2023-05-08,1.18,5.42,-4.24,-0.08,-13.96,8.0,5
bkt_balansat_34,balanced,2019-08-22,2020-08-21,-9.0,18.44,-27.43,-0.47,-28.08,5.2,5
bkt_agresiv_37,aggressive,2023-01-13,2024-01-13,-20.47,21.44,-41.91,-0.63,-41.89,10.0,5
