Name,Profile,StartDate,EndDate,Return%,SPY_Return%,Outperf%,Sharpe,MaxDD%,AvgStocks,Rebalances
bkt_balansat_63,balanced,2021-10-14,2022-10-14,-16.72,-17.96,1.23,-1.04,-20.34,10.7,5
bkt_balansat_62,balanced,2019-05-29,2020-05-28,39.23,11.1,28.13,1.05,-37.65,6.8,5
bkt_conservator_74,conservative,2024-12-20,2025-12-20,33.62,16.48,17.14,1.77,-11.91,14.0,4
bkt_agresiv_63,aggressive,2024-07-14,2025-07-14,-36.06,12.66,-48.71,-0.97,-38.27,10.0,6
bkt_balansat_61,balanced,2022-07-22,2023-07-22,45.49,16.32,29.18,2.14,-9.51,6.0,4
bkt_conservator_73,conservative,2020-07-23,2021-07-23,39.65,38.25,1.4,1.77,-9.06,14.2,5
bkt_conservator_72,conservative,2021-05-31,2022-05-31,0.25,-0.31,0.56,-0.05,-17.61,11.0,5
bkt_conservator_71,conservative,2018-05-27,2019-05-27,10.02,7.15,2.86,0.47,-14.92,12.5,4
bkt_balansat_60,balanced,2024-09-02,2025-09-02,29.02,17.42,11.6,1.08,-21.8,12.0,5
bkt_agresiv_62,aggressive,2022-02-26,2023-02-26,-11.45,-7.75,-3.7,-0.79,-29.63,7.8,5
bkt_agresiv_61,aggressive,2022-03-14,2023-03-14,-13.07,-4.54,-8.54,-0.28,-40.57,10.0,6
bkt_agresiv_60,aggressive,2024-04-29,2025-04-29,-22.23,10.06,-32.29,-0.43,-36.83,8.2,5
bkt_conservator_70,conservative,2018-08-27,2019-08-27,12.31,0.95,11.36,0.6,-14.92,14.0,5
bkt_conservator_69,conservative,2020-08-15,2021-08-15,8.06,33.93,-25.87,0.31,-8.35,13.2,4
bkt_conservator_68,conservative,2021-07-06,2022-07-06,-4.0,-10.22,6.22,-0.09,-31.14,7.0,5
bkt_agresiv_59,aggressive,2023-08-27,2024-08-26,-34.58,28.43,-63.0,-1.63,-43.01,10.0,4
bkt_agresiv_58,aggressive,2019-03-27,2020-03-26,-16.37,-4.69,-11.68,-0.61,-32.0,7.8,4
bkt_balansat_59,balanced,2023-06-09,2024-06-08,36.22,26.02,10.2,1.5,-18.51,9.8,4
bkt_balansat_58,balanced,2018-08-31,2019-08-31,-11.7,2.73,-14.43,-0.89,-21.69,11.8,5
bkt_agresiv_57,aggressive,2020-09-17,2021-09-17,33.82,33.82,0.0,1.89,-7.35,2.8,5
bkt_conservator_67,conservative,2023-10-10,2024-10-09,30.01,34.61,-4.6,1.18,-11.75,12.2,4
bkt_conservator_66,conservative,2024-02-23,2025-02-22,12.48,19.65,-7.17,0.72,-8.91,16.8,4
bkt_conservator_65,conservative,2018-02-04,2019-02-04,11.85,5.0,6.85,0.57,-10.61,16.0,5
bkt_conservator_64,conservative,2023-01-13,2024-01-13,58.62,21.44,37.18,2.3,-11.12,10.8,4
bkt_balansat_57,balanced,2022-08-22,2023-08-22,29.14,7.73,21.41,1.29,-9.34,4.0,5
bkt_agresiv_56,aggressive,2023-11-30,2024-11-29,5.5,33.81,-28.31,0.2,-31.76,10.0,5
bkt_agresiv_55,aggressive,2024-03-24,2025-03-24,-15.56,11.85,-27.42,-0.33,-36.61,8.5,6
bkt_agresiv_54,aggressive,2022-06-17,2023-06-17,3.47,22.08,-18.61,0.1,-18.12,9.8,4
bkt_balansat_56,balanced,2023-04-25,2024-04-24,-2.69,26.26,-28.95,-0.27,-18.76,5.3,4
bkt_agresiv_53,aggressive,2025-03-20,2025-12-31,11.62,22.01,-10.38,0.49,-51.64,10.0,4
bkt_conservator_63,conservative,2018-08-10,2019-08-10,11.17,5.02,6.14,0.62,-12.58,16.0,4
bkt_conservator_62,conservative,2019-07-09,2020-07-08,-17.47,8.51,-25.98,-0.84,-32.12,17.7,5
bkt_agresiv_52,aggressive,2019-08-12,2020-08-11,-1.66,17.83,-19.49,-0.02,-34.87,8.2,5
