Name,Profile,StartDate,EndDate,Return%,SPY_Return%,Outperf%,Sharpe,MaxDD%,AvgStocks,Rebalances
bkt_agresiv_325,aggressive,2020-01-05,2021-01-04,12.5,16.08,-3.58,0.4,-30.11,9.0,5
bkt_balansat_346,balanced,2022-11-05,2023-11-05,19.23,16.21,3.02,0.88,-11.83,7.0,4
bkt_conservator_329,conservative,2023-02-17,2024-02-17,32.18,24.52,7.67,1.6,-9.82,9.0,4
bkt_balansat_345,balanced,2019-11-09,2020-11-08,80.44,15.76,64.68,1.61,-26.48,7.5,4
bkt_conservator_328,conservative,2024-03-30,2025-03-30,9.81,7.77,2.04,0.43,-8.2,13.5,4
bkt_balansat_344,balanced,2023-09-05,2024-09-04,31.75,24.36,7.39,1.28,-9.52,9.2,4
bkt_agresiv_324,aggressive,2019-08-07,2020-08-06,9.26,18.42,-9.15,0.32,-27.05,10.0,4
bkt_conservator_327,conservative,2022-12-07,2023-12-07,22.46,18.39,4.07,1.03,-12.89,9.5,5
bkt_agresiv_323,aggressive,2021-11-26,2022-11-26,-21.18,-11.01,-10.17,-0.68,-33.03,8.8,5
bkt_conservator_326,conservative,2023-12-06,2024-12-05,50.67,35.21,15.46,2.47,-7.39,13.8,4
bkt_conservator_325,conservative,2021-01-17,2022-01-17,24.67,24.37,0.31,1.39,-7.31,13.8,4
bkt_agresiv_322,aggressive,2024-08-01,2025-08-01,49.75,15.92,33.83,0.78,-72.83,10.0,6
bkt_balansat_343,balanced,2025-03-20,2025-12-31,39.15,22.01,17.15,2.06,-6.44,11.0,4
bkt_agresiv_321,aggressive,2024-08-06,2025-08-06,14.63,22.7,-8.07,0.62,-72.83,10.0,5
bkt_conservator_324,conservative,2021-01-26,2022-01-26,25.93,14.43,11.5,1.44,-7.16,13.8,5
bkt_balansat_342,balanced,2021-09-02,2022-09-02,-10.21,-12.22,2.01,-0.53,-19.27,7.8,5
bkt_conservator_323,conservative,2020-10-28,2021-10-28,34.98,42.28,-7.3,1.95,-6.21,14.4,5
bkt_agresiv_320,aggressive,2025-05-22,2025-12-31,10.85,17.97,-7.11,0.5,-36.57,13.0,3
bkt_conservator_322,conservative,2019-04-23,2020-04-22,-4.35,-2.76,-1.6,-0.33,-25.35,14.2,5
bkt_balansat_341,balanced,2024-07-07,2025-07-07,-11.4,13.17,-24.57,-0.39,-30.99,7.0,6
bkt_agresiv_319,aggressive,2019-09-04,2020-09-03,9.17,19.81,-10.64,0.31,-27.65,7.0,4
bkt_balansat_340,balanced,2021-12-18,2022-12-18,-32.73,-14.39,-18.34,-2.28,-41.05,5.0,5
bkt_agresiv_318,aggressive,2022-07-09,2023-07-09,31.88,16.0,15.88,1.27,-11.9,7.2,4
bkt_agresiv_317,aggressive,2022-06-11,2023-06-11,3.81,16.58,-12.77,0.08,-13.13,10.0,4
bkt_agresiv_316,aggressive,2018-03-18,2019-03-18,-12.88,6.4,-19.28,-0.82,-31.43,8.0,6
bkt_balansat_339,balanced,2021-08-29,2022-08-29,-3.02,-9.7,6.69,-0.18,-21.33,9.6,5
bkt_agresiv_315,aggressive,2021-04-12,2022-04-12,-13.14,7.88,-21.01,-0.55,-22.24,5.8,5
bkt_balansat_338,balanced,2018-07-03,2019-07-03,-0.54,12.48,-13.02,-0.21,-21.08,7.2,5
bkt_agresiv_314,aggressive,2020-07-29,2021-07-29,37.55,37.55,0.0,1.95,-9.44,1.0,5
bkt_agresiv_313,aggressive,2023-03-27,2024-03-26,17.47,32.75,-15.28,0.52,-34.57,13.0,4
bkt_balansat_337,balanced,2020-01-27,2021-01-26,52.29,20.85,31.44,1.59,-20.65,9.2,4
bkt_agresiv_312,aggressive,2022-10-01,2023-10-01,18.57,18.44,0.13,0.62,-29.25,12.0,4
bkt_conservator_321,conservative,2022-04-12,2023-04-12,-1.61,-5.32,3.71,-0.25,-14.98,4.5,5
bkt_conservator_320,conservative,2024-08-07,2025-08-07,8.88,23.42,-14.54,0.38,-15.19,15.0,5
bkt_balansat_336,balanced,2022-12-21,2023-12-21,45.0,24.25,20.75,1.8,-11.94,6.4,5
bkt_agresiv_311,aggressive,2020-10-17,2021-10-17,52.31,32.2,20.1,1.96,-9.54,4.0,4
bkt_conservator_319,conservative,2022-05-15,2023-05-15,-6.17,4.98,-11.15,-0.76,-16.17,8.0,5
bkt_conservator_318,conservative,2021-01-20,2022-01-20,13.86,17.93,-4.07,0.7,-7.05,12.0,5
bkt_agresiv_310,aggressive,2022-10-23,2023-10-23,28.07,12.72,15.34,0.94,-23.79,12.4,5
bkt_balansat_335,balanced,2023-08-12,2024-08-11,25.32,20.61,4.72,1.0,-15.93,7.0,4
bkt_balansat_334,balanced,2021-01-16,2022-01-16,9.71,24.37,-14.65,0.35,-10.17,11.8,4
bkt_balansat_333,balanced,2022-07-30,2023-07-30,56.21,13.05,43.16,2.34,-10.31,6.2,4
bkt_balansat_332,balanced,2022-10-09,2023-10-09,22.16,21.96,0.19,0.96,-12.58,6.0,5
bkt_balansat_331,balanced,2022-12-01,2023-12-01,46.42,14.47,31.95,1.96,-8.95,9.0,5
bkt_conservator_317,conservative,2019-09-22,2020-09-21,32.86,11.76,21.09,0.9,-26.54,16.0,4
bkt_conservator_316,conservative,2019-06-18,2020-06-17,1.67,8.76,-7.1,0.01,-28.38,15.3,5
bkt_conservator_315,conservative,2025-05-18,2025-12-31,28.85,15.64,13.21,2.76,-4.12,12.0,3
bkt_agresiv_309,aggressive,2018-09-01,2019-09-01,-18.41,2.91,-21.32,-0.94,-26.89,11.8,5
bkt_balansat_330,balanced,2025-06-08,2025-12-31,33.83,14.7,19.12,2.51,-6.89,11.0,3
bkt_agresiv_308,aggressive,2018-02-08,2019-02-08,42.44,6.98,35.46,1.38,-15.8,10.0,5
bkt_balansat_329,balanced,2019-02-05,2020-02-05,23.57,24.19,-0.62,1.29,-7.21,9.8,5
bkt_conservator_314,conservative,2024-11-19,2025-11-19,22.48,13.62,8.86,1.0,-17.85,13.8,5
bkt_agresiv_307,aggressive,2020-09-15,2021-09-15,33.62,33.62,0.0,1.88,-7.35,3.4,5
bkt_agresiv_306,aggressive,2024-03-25,2025-03-25,18.8,12.12,6.68,0.56,-29.67,10.6,5
bkt_agresiv_305,aggressive,2019-04-26,2020-04-25,18.87,-1.59,20.46,0.7,-18.95,7.0,4
bkt_balansat_328,balanced,2025-06-12,2025-12-31,41.83,13.93,27.9,2.68,-7.24,11.3,3
bkt_agresiv_304,aggressive,2020-02-15,2021-02-14,25.9,18.78,7.12,0.73,-30.51,9.0,4
bkt_balansat_327,balanced,2022-06-24,2023-06-24,28.69,12.87,15.82,1.69,-6.14,4.0,4
bkt_conservator_313,conservative,2020-11-26,2021-11-26,25.72,27.98,-2.26,1.29,-9.65,13.6,5
bkt_balansat_326,balanced,2018-05-30,2019-05-30,-17.93,4.34,-22.27,-1.27,-21.82,13.6,5
bkt_balansat_325,balanced,2018-05-07,2019-05-07,5.59,9.96,-4.37,0.17,-13.54,12.6,5
bkt_conservator_312,conservative,2025-01-19,2025-12-31,-0.4,14.41,-14.8,-0.17,-18.1,12.2,4
bkt_balansat_324,balanced,2023-12-09,2024-12-08,80.4,33.34,47.06,3.11,-7.93,10.8,4
bkt_balansat_323,balanced,2019-12-23,2020-12-22,19.98,16.46,3.52,0.64,-31.51,8.7,4
bkt_balansat_322,balanced,2023-12-12,2024-12-11,41.32,32.66,8.67,1.79,-11.48,10.5,4
bkt_conservator_311,conservative,2019-11-14,2020-11-13,-19.07,17.92,-37.0,-1.0,-30.64,12.8,5
bkt_balansat_321,balanced,2020-08-03,2021-08-03,25.44,36.17,-10.73,0.97,-11.55,11.4,5
bkt_balansat_320,balanced,2018-05-27,2019-05-27,-15.37,7.15,-22.53,-1.23,-20.05,9.0,4
bkt_conservator_310,conservative,2019-07-10,2020-07-09,-12.97,7.38,-20.35,-0.81,-27.07,17.3,5
bkt_agresiv_303,aggressive,2021-09-08,2022-09-08,-10.64,-9.94,-0.69,-0.36,-34.0,7.5,6
